Источники видео (Pexels, свободная лицензия):
peking-duck.mp4 — Pexels, автор cottonbro studio — https://www.pexels.com/video/close-up-of-a-roasted-turkey-ready-for-serving-3198250/
milky-way.mp4 — Pexels, автор Orhan Pergel — https://www.pexels.com/video/the-milky-way-galaxy-is-shown-in-this-image-27638338/
porsche.jpg — Pexels (фото), автор Tejas JR — https://www.pexels.com/photo/yellow-porsche-911-carrera-in-bengaluru-showroom-38883327/
bugatti.jpg — Pexels (фото), автор MurdaShots — https://www.pexels.com/photo/luxury-green-sports-car-at-outdoor-event-33568526/
maserati.jpg — Pexels (фото), автор Jacob Moore — https://www.pexels.com/photo/new-cars-on-display-12565887/
orca.jpg — Pexels (фото), автор Tomáš Malík — https://www.pexels.com/photo/orca-in-sea-24778635/
designer-bag.jpg — Pexels (фото), автор @MOo Jii — https://www.pexels.com/photo/colorful-leather-sling-bags-8483994/
panna-cotta.jpg — Pexels (фото), автор furkanfdemir — https://www.pexels.com/photo/close-up-of-a-person-holding-a-bowl-with-an-exotic-dish-7239435/
raspberry.jpg — Pexels (фото), автор Polina ⠀ — https://www.pexels.com/photo/close-up-photo-of-raspberry-macaroon-8350873/
fried-rice.mp4 — Pexels, автор Deep Pandey — https://www.pexels.com/video/delicious-indian-fried-rice-with-papadum-30044491/
